Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder,Priority
6a88f75e1db4a34c5c716595,Registrar proveedor (RF-01),https://trello.com/c/Fx5GEhnf/1-registrar-proveedor-rf-01,"**HU-01 (trazada a RF-01)**

Como administradora del negocio, quiero registrar un proveedor con su RUC validado, para asegurar que solo trabajo con proveedores regularizados ante el SRI.

**Criterio de aceptación (Gherkin):** Dado que ingreso al módulo de proveedores, Cuando intento guardar un proveedor sin un RUC de 13 dígitos válido, Entonces el sistema rechaza el registro y muestra un mensaje de error.","EV-01 (sky), HU-01 (yellow_dark)",arielomarcastrobajana,,0,,0,0,0,0,2026-08-22T02:42:43.138Z,6a88f70c4989d755a6cfe926,Backlog,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Must
6a88f987029dbe9ad29c03c1,Registrar guía de origen (RF-02),https://trello.com/c/26NgZKRI/2-registrar-gu%C3%ADa-de-origen-rf-02,"**HU-02 (trazada a RF-02)**

Como encargado de bodega, quiero registrar la guía de origen de un lote, para cumplir con la trazabilidad exigida por Agrocalidad antes de aceptar el ingreso.

**Criterio de aceptación (Gherkin):** Dado que un proveedor no tiene guía de origen registrada, Cuando intento registrar el ingreso de un lote asociado a ese proveedor, Entonces el sistema rechaza el registro del lote hasta que exista una guía de origen.","EV-02 (sky), HU-02 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:25:13.164Z,6a88f70c4989d755a6cfe926,Backlog,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Must
6a88f9dbbed4945e8ae6b1af,Georreferencia proveedor (RF-17),https://trello.com/c/LgnabvBH/4-georreferencia-proveedor-rf-17,"**HU-17 — RF-17**
Como administrador general, quiero asociar coordenadas de la granja de origen al perfil del proveedor, para enriquecer la trazabilidad.
**Gherkin:** Dado que el campo de georreferencia es opcional, Cuando lo dejo vacío, Entonces el proveedor se guarda igual; Cuando ingreso coordenadas fuera de Ecuador continental, Entonces el sistema rechaza el valor.","EV-10 (sky), HU-17 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:31:10.960Z,6a88f70c4989d755a6cfe926,Backlog,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Should
6a88fbe3d3ddbc9579114ff6,Historial de precios (RF-18),https://trello.com/c/PsnJL8hT/5-historial-de-precios-rf-18,"**HU-18** — RF-18
Como propietaria, quiero consultar el histórico de precios por libra por producto y rango de fechas, para analizar la evolución de mis costos.
**Gherkin:** Dado que existen cambios de precio registrados, Cuando consulto el histórico, Entonces el sistema muestra fecha, precio anterior, precio nuevo y usuario que lo modificó.","EV-11 (sky), HU-18 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:31:33.527Z,6a88f70c4989d755a6cfe926,Backlog,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Could
6a88ffee9799b6838e888f64,Generar QR trazabilidad (RF-25),https://trello.com/c/vVgV69gr/6-generar-qr-trazabilidad-rf-25,"**HU-25** — RF-25
Como cliente, quiero escanear el QR de un lote/animal, para consultar públicamente su trazabilidad.
**Gherkin:** Dado que el lote tiene QR generado, Cuando lo escaneo, Entonces se muestra la vista pública de trazabilidad con los datos autorizados.","EV-03 (sky), HU-25 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:31:56.208Z,6a88f70c4989d755a6cfe927,En proceso,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Could
6a89005441aa54979cd0c136,Vista pública QR - campos delimitados (RF-26),https://trello.com/c/EUdAiJes/7-vista-p%C3%BAblica-qr-campos-delimitados-rf-26,"**HU-26**
Vista pública QR — campos delimitados
Como cliente, quiero que la vista pública de trazabilidad (accedida vía QR) muestre solo los campos autorizados para consulta externa, para que no se exponga información interna sensible (costos, proveedores completos, etc.) al escanear el código.

**Gherkin:**
Dado que un cliente escanea el QR de un lote,
Cuando accede a la vista pública de trazabilidad,
Entonces el sistema muestra únicamente los campos delimitados como públicos (origen, fechas, cámara) y oculta costos y datos internos del proveedor.","CCB (pink_dark), EV-03 (sky), HU-26 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:32:43.076Z,6a88f70c4989d755a6cfe927,En proceso,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Must
6a8900c9a6afed7330f92d5b,Filtrar reportes por proveedor (RF-27),https://trello.com/c/F8u4TTGg/8-filtrar-reportes-por-proveedor-rf-27,"**HU-27** — RF-27
Filtrar reportes por proveedor
Como propietaria, quiero filtrar los reportes gerenciales (ventas, compras, pérdidas) por proveedor específico, para evaluar el desempeño y costo de cada proveedor de forma individual.

**Gherkin:**
Dado que selecciono un proveedor en el filtro de reportes,
Cuando genero el reporte,
Entonces el sistema muestra únicamente los movimientos (compras, mermas, ventas asociadas) vinculados a ese proveedor en el rango de fechas indicado.","HU-27 (yellow_dark), RFC-01 (sky)",,,0,,0,0,0,0,2026-08-22T02:33:08.977Z,6a88f70c4989d755a6cfe927,En proceso,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Must
6a8901c37b493b5e3d1948a5,Registrar incidentes energia (RF-20),https://trello.com/c/OSqWi5a5/9-registrar-incidentes-energia-rf-20,"**HU-20 (trazada a RF-20)**

Como administrador general, quiero registrar un corte de energía eléctrica, para sustentar con evidencia una eventual baja de producto por pérdida de cadena de frío.

**Criterio de aceptación (Gherkin):** Dado que registro un incidente de corte de energía con hora de inicio y de restablecimiento, Cuando registro posteriormente una baja de producto en una cámara afectada, Entonces el sistema permite asociar el incidente como evidencia de la baja.","EV-12 (sky), HU-20 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:23:10.277Z,6a88f731b3d72037dded2a68,En revisión,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Must
6a89020427f1355db9c0c332,Operar en modo offline (RF-21),https://trello.com/c/7nXYoisQ/10-operar-en-modo-offline-rf-21,"**HU-21 (trazada a RF-21)**

Como encargado de bodega, quiero seguir registrando ingresos y pesajes sin conexión a internet, para no detener la operación durante un corte de conectividad.

**Criterio de aceptación (Gherkin):** Dado que el dispositivo pierde conectividad, Cuando registro un ingreso o un pesaje en modo offline, Entonces el sistema sincroniza la operación sin pérdida de datos dentro de los 5 minutos posteriores a la reconexión.","EV-13 (sky), HU-21 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:22:29.214Z,6a88f731b3d72037dded2a68,En revisión,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Must
6a89023cd85c9d9d7033de9d,Registrar devoluciones (RF-22),https://trello.com/c/SyRJt0E4/11-registrar-devoluciones-rf-22,"**HU-22 — RF-22**
Como encargado de bodega, quiero registrar la devolución total o parcial de un producto vendido, para reingresarlo al inventario o darlo de baja.
**Gherkin**: Dado que un cliente devuelve un producto, Cuando registro la devolución, Entonces queda vinculada a la venta original mediante el número de factura referenciado.","EV-14 (sky), HU-22 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:33:32.071Z,6a88f731b3d72037dded2a68,En revisión,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Should
6a890257e25badf03a519cb3,Exportar evidencia Agrocalidad (RF-23),https://trello.com/c/TTy787Zk/12-exportar-evidencia-agrocalidad-rf-23,"**HU-23 (trazada a RF-23)**

Como administrador general, quiero exportar la trazabilidad completa de un lote en PDF, para presentarla ante una auditoría de Agrocalidad.

**Criterio de aceptación (Gherkin):** Dado que un lote tiene trazabilidad completa registrada, Cuando exporto la evidencia de trazabilidad, Entonces el sistema genera un archivo PDF con los mismos datos mostrados en la consulta de trazabilidad.","EV-15 (sky), HU-23 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:21:53.203Z,6a88f731b3d72037dded2a68,En revisión,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,false,,Must
6a8902dab08b451f20995d73,Registrar ingreso lote/animal (RF-03),https://trello.com/c/ls166IY3/13-registrar-ingreso-lote-animal-rf-03,"Como encargado de bodega, quiero registrar el ingreso de animales por número de arete, para mantener la trazabilidad individual exigida por Agrocalidad.

Criterio de aceptación (Gherkin): Dado que registro el ingreso de un cerdo o res, Cuando el número de arete ingresado ya existe en el sistema, Entonces el sistema rechaza el registro y muestra un mensaje de duplicidad.",HU-03 (yellow_dark),,,0,,0,0,0,0,2026-08-22T02:11:27.408Z,6a88f70c4989d755a6cfe928,Hecho,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,true,,Must
6a89032aeaa0c971f999d4db,"Pesaje + comprobante (RF-04, RF-05)",https://trello.com/c/Qt5YfkCq/14-pesaje-comprobante-rf-04-rf-05,"**HU-04 (trazada a RF-04)**

Como encargado de bodega, quiero que el sistema calcule automáticamente el costo total al pesar un producto, para evitar errores de cálculo manual.

**Criterio de aceptación (Gherkin):** Dado que ingreso el peso en libras y el precio por libra configurado, Cuando confirmo el registro de pesaje, Entonces el sistema muestra el costo total calculado en menos de 1 segundo.

**HU-05**
Como propietaria, quiero que el sistema emita un comprobante al confirmar un pesaje, para entregar un respaldo al proveedor.
**Criterio de aceptación (Gherkin):**
Dado que un pesaje ha sido confirmado,
Cuando el usuario solicita emitir el comprobante,
Entonces el sistema genera un ticket con fecha, proveedor, peso, precio y costo total en menos de 2 segundos.","HU-04 (yellow_dark), HU-05 (yellow_dark)",,,0,,0,0,0,0,2026-08-22T02:34:49.290Z,6a88f70c4989d755a6cfe928,Hecho,6a88f70b4989d755a6cfe8f9,CarniCore-PE5,false,,true,,Must
